business,date,driver_total_pay
Lyft,2023-05,360408.08971881866
Uber,2023-02,2.5215597708423993E8
Uber,2023-03,2.9595849599784E8
Uber,2023-01,2.5025348066162884E8
Uber,2023-04,2.950689272036143E8
Uber,2023-05,3.130051145308317E8
Lyft,2023-01,239932.2593984604
Lyft,2023-02,234875.5296087265
Lyft,2023-04,297815.3794941902
Lyft,2023-03,310276.54944992065
