business,date,platform_profit
Lyft,2023-05,-107719.21000343934
Uber,2023-02,1.3062880563633615E8
Uber,2023-03,1.5207287641912198E8
Uber,2023-01,1.3319711162465687E8
Uber,2023-04,1.5026982019417086E8
Uber,2023-05,1.6313361550055724E8
Lyft,2023-01,-72633.3500049822
Lyft,2023-02,-70064.72000297531
Lyft,2023-04,-90197.13001759537
Lyft,2023-03,-99403.93998675235
